iter	Logloss
0	0.4161054256
1	0.3158464382
2	0.2694290754
3	0.246805685
4	0.2344790698
5	0.2274653465
6	0.2230042216
7	0.2199915337
8	0.2183768144
9	0.2169878174
10	0.2159345308
11	0.2146525374
12	0.2138932271
13	0.2132078745
14	0.2126626325
15	0.2118239528
16	0.21052214
17	0.2099032597
18	0.2092600653
19	0.2084708134
20	0.2080575883
21	0.2070867633
22	0.2066038679
23	0.2059705131
24	0.204263924
25	0.203754561
26	0.2032189801
27	0.2027248438
28	0.2024175578
29	0.2020336823
30	0.2015843151
31	0.2011849548
32	0.2008614204
33	0.2003229423
34	0.1992910053
35	0.198892357
36	0.1985825549
37	0.1979582385
38	0.1974598593
39	0.1971248615
40	0.1965532596
41	0.196345835
42	0.1960873119
43	0.1955554089
44	0.1953497075
45	0.1950633614
46	0.1948700625
47	0.1946852119
48	0.1943142656
49	0.1937441447
50	0.1934791848
51	0.1932734084
52	0.1930888091
53	0.1926872557
54	0.1924390441
55	0.1922144794
56	0.1920107419
57	0.1917754407
58	0.1916355318
59	0.1913967322
60	0.1911521719
61	0.1909073571
62	0.1906338494
63	0.1904511017
64	0.1901473365
65	0.1899891735
66	0.1896666971
67	0.1894679552
68	0.1892742417
69	0.1891464475
70	0.1889322901
71	0.188708592
72	0.1883817034
73	0.188139283
74	0.18796529
75	0.1878211759
76	0.1875909851
77	0.1873786568
78	0.1872386612
79	0.1871155297
80	0.1868552954
81	0.1866114307
82	0.1864596152
83	0.186230324
84	0.18597342
85	0.1858514713
86	0.1856931832
87	0.1854966862
88	0.1854165051
89	0.1853345566
90	0.1845914383
91	0.1842624159
92	0.1840576535
93	0.1839354619
94	0.1838000755
95	0.1836523798
96	0.1834055143
97	0.1832723457
98	0.1831221416
99	0.1829168483
