iter	Passed	Remaining
0	207	20542
1	313	15345
2	427	13808
3	545	13088
4	638	12136
5	735	11524
6	828	11011
7	918	10560
8	1017	10287
9	1103	9931
10	1194	9667
11	1303	9560
12	1401	9376
13	1504	9244
14	1596	9044
15	1689	8870
16	1786	8722
17	1881	8572
18	1987	8473
19	2078	8313
20	2166	8148
21	2260	8012
22	2357	7892
23	2454	7771
24	2544	7634
25	2637	7505
26	2724	7366
27	2818	7248
28	2907	7118
29	3010	7024
30	3122	6949
31	3216	6835
32	3314	6729
33	3412	6623
34	3524	6545
35	3624	6442
36	3715	6325
37	3822	6236
38	3911	6117
39	4006	6009
40	4100	5900
41	4207	5809
42	4306	5709
43	4411	5614
44	4503	5504
45	4609	5410
46	4699	5298
47	4804	5204
48	4901	5101
49	4986	4986
50	5086	4886
51	5172	4774
52	5281	4683
53	5381	4584
54	5473	4478
55	5574	4380
56	5667	4275
57	5753	4166
58	5855	4069
59	5948	3965
60	6052	3869
61	6131	3758
62	6231	3659
63	6330	3561
64	6427	3461
65	6512	3354
66	6613	3257
67	6704	3155
68	6806	3057
69	6898	2956
70	6987	2854
71	7093	2758
72	7190	2659
73	7283	2559
74	7385	2461
75	7479	2361
76	7578	2263
77	7675	2164
78	7761	2063
79	7847	1961
80	7950	1865
81	8051	1767
82	8148	1668
83	8254	1572
84	8346	1472
85	8431	1372
86	8515	1272
87	8602	1173
88	8696	1074
89	8784	976
90	8894	879
91	8985	781
92	9077	683
93	9168	585
94	9270	487
95	9362	390
96	9480	293
97	9591	195
98	9687	97
99	9794	0
